#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
SLDT         ; Mw          ; LDTR                    ;            0x0F 0x00 /0:mem        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
PSLLDQ       ; Ux,Ib       ;                         ;       0x66 0x0F 0x73 /7:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:7
PCMPEQB      ; Pq,Qq       ;                         ;         NP 0x0F 0x74 /r            ; s:MMX, t:MMX, w:RW|R
PCMPEQB      ; Vx,Wx       ;                         ;       0x66 0x0F 0x74 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PCMPEQW      ; Pq,Qq       ;                         ;         NP 0x0F 0x75 /r            ; s:MMX, t:MMX, w:RW|R
PCMPEQW      ; Vx,Wx       ;                         ;       0x66 0x0F 0x75 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PCMPEQD      ; Pq,Qq       ;                         ;         NP 0x0F 0x76 /r            ; s:MMX, t:MMX, w:RW|R
PCMPEQD      ; Vx,Wx       ;                         ;       0x66 0x0F 0x76 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
EMMS         ;             ;                         ;         NP 0x0F 0x77               ; s:MMX, t:MMX
VMREAD       ; Ey,Gy       ; Fv                      ;         NP 0x0F 0x78 /r            ; s:VTX, t:VTX, w:RW|R|W, f:VMX, a:F64, m:VMXROOT
INSERTQ      ; Vdq,Udq,Ib,Ib ;                       ;       0xF2 0x0F 0x78 /r ib ib      ; s:SSE4A, t:BITBYTE, w:W|R|R|R
EXTRQ        ; Uq,Ib,Ib    ;                         ;       0x66 0x0F 0x78 /0 ib ib      ; s:SSE4A, t:BITBYTE, w:W|R|R
VMWRITE      ; Gy,Ey       ; Fv                      ;         NP 0x0F 0x79 /r            ; s:VTX, t:VTX, w:R|R|W, f:VMX, a:F64, m:VMXROOT
EXTRQ        ; Vdq,Uq      ;                         ;       0x66 0x0F 0x79 /r:reg        ; s:SSE4A, t:BITBYTE, w:W|R
INSERTQ      ; Vdq,Udq     ;                         ;       0xF2 0x0F 0x79 /r:reg        ; s:SSE4A, t:BITBYTE, w:W|R
HADDPD       ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x7C /r            ; s:SSE3, t:SSE, w:RW|R, e:2
HADDPS       ; Vps,Wps     ;                         ;       0xF2 0x0F 0x7C /r            ; s:SSE3, t:SSE, w:RW|R, e:2
HSUBPD       ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x7D /r            ; s:SSE3, t:SSE, w:RW|R, e:2
HSUBPS       ; Vps,Wps     ;                         ;       0xF2 0x0F 0x7D /r            ; s:SSE3, t:SSE, w:RW|R, e:2
MOVD         ; Ey,Pd       ;                         ;         NP 0x0F 0x7E /r            ; s:MMX, t:DATAXFER, w:W|R
MOVQ         ; Ey,Pq       ;                         ;    rexw NP 0x0F 0x7E /r            ; s:MMX, t:DATAXFER, w:W|R
MOVD         ; Ey,Vdq      ;                         ;       0x66 0x0F 0x7E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVQ         ; Ey,Vdq      ;                         ;  0x66 rexw 0x0F 0x7E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVQ         ; Vdq,Wq      ;                         ;       0xF3 0x0F 0x7E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVQ         ; Qq,Pq       ;                         ;         NP 0x0F 0x7F /r            ; s:MMX, t:DATAXFER, w:W|R
MOVDQA       ; Wx,Vx       ;                         ;       0x66 0x0F 0x7F /r            ; s:SSE2, t:DATAXFER, w:W|R, e:1
MOVDQU       ; Wx,Vx       ;                         ;       0xF3 0x0F 0x7F /r            ; s:SSE2, t:DATAXFER, w:W|R, e:4

# 0x80 - 0x8F
JO           ; Jz          ; rIP,Fv                  ;            0x0F 0x80 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CO,    a:F64|COND|NOREX2, p:BND|BH
JNO          ; Jz          ; rIP,Fv                  ;            0x0F 0x81 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNO,   a:F64|COND|NOREX2, p:BND|BH
JC           ; Jz          ; rIP,Fv                  ;            0x0F 0x82 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CC,    a:F64|COND|NOREX2, p:BND|BH
JNC          ; Jz          ; rIP,Fv                  ;            0x0F 0x83 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNC,   a:F64|COND|NOREX2, p:BND|BH
JZ           ; Jz          ; rIP,Fv                  ;            0x0F 0x84 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CZ,    a:F64|COND|NOREX2, p:BND|BH
JNZ          ; Jz          ; rIP,Fv                  ;            0x0F 0x85 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNZ,   a:F64|COND|NOREX2, p:BND|BH
JBE          ; Jz          ; rIP,Fv                  ;            0x0F 0x86 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CBE,   a:F64|COND|NOREX2, p:BND|BH
JNBE         ; Jz          ; rIP,Fv                  ;            0x0F 0x87 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNBE,  a:F64|COND|NOREX2, p:BND|BH
JS           ; Jz          ; rIP,Fv                  ;            0x0F 0x88 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CS,    a:F64|COND|NOREX2, p:BND|BH
JNS          ; Jz          ; rIP,Fv                  ;            0x0F 0x89 cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNS,   a:F64|COND|NOREX2, p:BND|BH
JP           ; Jz          ; rIP,Fv                  ;            0x0F 0x8A cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CP,    a:F64|COND|NOREX2, p:BND|BH
JNP          ; Jz          ; rIP,Fv                  ;            0x0F 0x8B cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNP,   a:F64|COND|NOREX2, p:BND|BH
JL           ; Jz          ; rIP,Fv                  ;            0x0F 0x8C cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CL,    a:F64|COND|NOREX2, p:BND|BH
JNL          ; Jz          ; rIP,Fv                  ;            0x0F 0x8D cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNL,   a:F64|COND|NOREX2, p:BND|BH
JLE          ; Jz          ; rIP,Fv                  ;            0x0F 0x8E cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CLE,   a:F64|COND|NOREX2, p:BND|BH
JNLE         ; Jz          ; rIP,Fv                  ;            0x0F 0x8F cz            ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNLE,  a:F64|COND|NOREX2, p:BND|BH

# 0x90 - 0x9F
SETO         ; Eb          ; Fv                      ;            0x0F 0x90 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CO,    a:COND
SETNO        ; Eb          ; Fv                      ;            0x0F 0x91 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CNO,   a:COND
SETC         ; Eb          ; Fv                      ;            0x0F 0x92 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CC,    a:COND
SETNC        ; Eb          ; Fv                      ;            0x0F 0x93 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CNC,   a:COND
SETZ         ; Eb          ; Fv                      ;            0x0F 0x94 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CZ,    a:COND
SETNZ        ; Eb          ; Fv                      ;            0x0F 0x95 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CNZ,   a:COND
SETBE        ; Eb          ; Fv                      ;            0x0F 0x96 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CBE,   a:COND
SETNBE       ; Eb          ; Fv                      ;            0x0F 0x97 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CNBE,  a:COND
SETS         ; Eb          ; Fv                      ;            0x0F 0x98 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CS,    a:COND
SETNS        ; Eb          ; Fv                      ;            0x0F 0x99 /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CNS,   a:COND
SETP         ; Eb          ; Fv                      ;            0x0F 0x9A /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CP,    a:COND
SETNP        ; Eb          ; Fv                      ;            0x0F 0x9B /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CNP,   a:COND
SETL         ; Eb          ; Fv                      ;            0x0F 0x9C /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CL,    a:COND
SETNL        ; Eb          ; Fv                      ;            0x0F 0x9D /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CNL,   a:COND
SETLE        ; Eb          ; Fv                      ;            0x0F 0x9E /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CLE,   a:COND
SETNLE       ; Eb          ; Fv                      ;            0x0F 0x9F /r            ; s:I386, t:BITBYTE, c:SETcc, w:W|R, f:CNLE,  a:COND

# 0xA0 - 0xAF
PUSH         ; FS          ; Kv                      ;            0x0F 0xA0               ; s:I86, t:PUSH, w:R|W, a:D64, m:NOSGX
POP          ; FS          ; Kv                      ;            0x0F 0xA1               ; s:I86, t:POP, w:W|R, a:D64, m:NOSGX
CPUID        ;             ; EAX,EBX,ECX,EDX         ;            0x0F 0xA2               ; s:I486REAL, t:MISC, w:RW|W|CRW|W, a:SERIAL, m:NOSGX|NOTSX
BT           ; Ev,Gv       ; Fv                      ;            0x0F 0xA3 /r bitbase    ; s:I386, t:BITBYTE, w:R|R|W, f:BT
SHLD         ; Ev,Gv,Ib    ; Fv                      ;            0x0F 0xA4 /r ib         ; s:I386, t:SHIFT, w:RCW|R|R|W, f:SHIFTD
SHLD         ; Ev,Gv,CL    ; Fv                      ;            0x0F 0xA5 /r            ; s:I386, t:SHIFT, w:RCW|R|R|W, f:SHIFTD

PUSH         ; GS          ; Kv                      ;            0x0F 0xA8               ; s:I86, t:PUSH, w:R|W, a:D64, m:NOSGX
POP          ; GS          ; Kv                      ;            0x0F 0xA9               ; s:I86, t:POP, w:W|R, a:D64, m:NOSGX
RSM          ;             ; CS,rIP,Fv               ;            0x0F 0xAA               ; s:I486, t:SYSRET, w:W|W|W, a:SERIAL, m:SMM
BTS          ; Ev,Gv       ; Fv                      ;            0x0F 0xAB /r bitbase    ; s:I386, t:BITBYTE, w:RW|R|W, f:BT, p:HLE|LOCK
SHRD         ; Ev,Gv,Ib    ; Fv                      ;            0x0F 0xAC /r ib         ; s:I386, t:SHIFT, w:RCW|R|R|W, f:SHIFTD
SHRD         ; Ev,Gv,CL    ; Fv                      ;            0x0F 0xAD /r            ; s:I386, t:SHIFT, w:RCW|R|R|W, f:SHIFTD

FXSAVE       ; Mrx         ; BANK                    ;         NP 0x0F 0xAE /0:mem        ; s:FXSAVE, t:SSE, w:W|R
FXSAVE64     ; Mrx         ; BANK                    ;    rexw NP 0x0F 0xAE /0:mem        ; s:FXSAVE, t:SSE, w:W|R
FXRSTOR      ; Mrx         ; BANK                    ;         NP 0x0F 0xAE /1:mem        ; s:FXSAVE, t:SSE, w:R|W
FXRSTOR64    ; Mrx         ; BANK                    ;    rexw NP 0x0F 0xAE /1:mem        ; s:FXSAVE, t:SSE, w:R|W
LDMXCSR      ; Md          ; MXCSR                   ;         NP 0x0F 0xAE /2:mem        ; s:SSE, t:SSE, w:R|W
STMXCSR      ; Md          ; MXCSR                   ;         NP 0x0F 0xAE /3:mem        ; s:SSE, t:SSE, w:W|R
XSAVE        ; M?          ; EDX,EAX,XCR0,BANK       ;         NP 0x0F 0xAE /4:mem        ; s:XSAVE, t:XSAVE, c:XSAVE, w:W|R|R|R|R, a:NOREX2
XSAVE64      ; M?          ; EDX,EAX,XCR0,BANK       ;    rexw NP 0x0F 0xAE /4:mem        ; s:XSAVE, t:XSAVE, c:XSAVE, w:W|R|R|R|R, a:NOREX2
XRSTOR       ; M?          ; EDX,EAX,XCR0,BANK       ;         NP 0x0F 0xAE /5:mem        ; s:XSAVE, t:XSAVE, c:XRSTOR, w:R|R|R|R|W, a:NOREX2
XRSTOR64     ; M?          ; EDX,EAX,XCR0,BANK       ;    rexw NP 0x0F 0xAE /5:mem        ; s:XSAVE, t:XSAVE, c:XRSTOR, w:R|R|R|R|W, a:NOREX2
XSAVEOPT     ; M?          ; EDX,EAX,XCR0,BANK       ;         NP 0x0F 0xAE /6:mem        ; s:XSAVE, t:XSAVE, c:XSAVEOPT, w:W|R|R|R|R, a:NOREX2
XSAVEOPT64   ; M?          ; EDX,EAX,XCR0,BANK       ;    rexw NP 0x0F 0xAE /6:mem        ; s:XSAVE, t:XSAVE, c:XSAVEOPT, w:W|R|R|R|R, a:NOREX2
CLWB         ; Mb          ;                         ;       0x66 0x0F 0xAE /6:mem        ; s:CLWB, t:MISC, w:R
CLRSSBSY     ; Mq          ; SSP                     ;       0xF3 0x0F 0xAE /6:mem        ; s:CET_SS, t:CET, a:SHS, w:RW|RW, f:CF=m|ZF=0|PF=0|AF=0|OF=0|SF=0
CLFLUSH      ; Mb          ;                         ;         NP 0x0F 0xAE /7:mem        ; s:CLFSH, t:MISC, w:R
CLFLUSHOPT   ; Mb          ;                         ;       0x66 0x0F 0xAE /7:mem        ; s:CLFSHOPT, t:MISC, w:R

PTWRITE      ; Ey          ;                         ;       0xF3 0x0F 0xAE /4            ; s:PTWRITE, t:PTWRITE, w:R, a:NO66

RDFSBASE     ; Ry          ; FSBASE                  ;  mo64 0xF3 0x0F 0xAE /0:reg        ; s:RDWRFSGS, t:RDWRFSGS, w:W|R, m:O64
RDGSBASE     ; Ry          ; GSBASE                  ;  mo64 0xF3 0x0F 0xAE /1:reg        ; s:RDWRFSGS, t:RDWRFSGS, w:W|R, m:O64
WRFSBASE     ; Ry          ; FSBASE                  ;  mo64 0xF3 0x0F 0xAE /2:reg        ; s:RDWRFSGS, t:RDWRFSGS, w:R|W, m:O64
WRGSBASE     ; Ry          ; GSBASE                  ;  mo64 0xF3 0x0F 0xAE /3:reg        ; s:RDWRFSGS, t:RDWRFSGS, w:R|W, m:O64
INCSSPD      ; Rd          ; SHSI,SSP                ;       0xF3 0x0F 0xAE /5:reg        ; s:CET_SS, t:CET, c:INCSSP, w:R|R|RW
INCSSPQ      ; Rq          ; SHSI,SSP                ;  0xF3 rexw 0x0F 0xAE /5:reg        ; s:CET_SS, t:CET, c:INCSSP, w:R|R|RW
LFENCE       ;             ;                         ;         NP 0x0F 0xAE /5:reg        ; s:SSE2, t:MISC
UMONITOR     ; mMb         ; Fv                      ;       0xF3 0x0F 0xAE /6:reg        ; s:WAITPKG, t:WAITPKG, w:R|W, f:WAITPKG, m:NOTSX
UMWAIT       ; Ry          ; EDX,EAX                 ;       0xF2 0x0F 0xAE /6:reg        ; s:WAITPKG, t:WAITPKG, w:R|R|R, m:NOTSX
TPAUSE       ; Ry          ; EDX,EAX,Fv              ;       0x66 0x0F 0xAE /6:reg        ; s:WAITPKG, t:WAITPKG, w:R|R|R|W, f:WAITPKG
MFENCE       ;             ;                         ;         NP 0x0F 0xAE /6:reg        ; s:SSE2, t:MISC
SFENCE       ;             ;                         ;         NP 0x0F 0xAE /7:reg        ; s:SSE2, t:MISC
# Intel dropped support for the PCOMMIT instruction before it was shipped in any CPU. The following instruction wil ALWAYS cause a #UD from now on.
#PCOMMIT     ;             ;                         ;       0x66 0x0F 0xAE /7:reg        ; s:PCOMMIT, t:MISC

IMUL         ; Gv,Ev       ; Fv                      ;            0x0F 0xAF /r            ; s:I86, t:ARITH, w:RW|R|W, f:MUL

# 0xB0 - 0xBF
CMPXCHG      ; Eb,Gb       ; AL,Fv                   ;            0x0F 0xB0 /r            ; s:I486REAL, t:SEMAPHORE, w:RCW|R|RCW|W, f:ARITH, p:LOCK|HLE
CMPXCHG      ; Ev,Gv       ; rAX,Fv                  ;            0x0F 0xB1 /r            ; s:I486REAL, t:SEMAPHORE, w:RCW|R|RCW|W, f:ARITH, p:LOCK|HLE
LSS          ; Gv,Mp       ; SS                      ;            0x0F 0xB2 /r:mem        ; s:I386, t:SEGOP, w:W|R|W, m:NOSGX
BTR          ; Ev,Gv       ; Fv                      ;            0x0F 0xB3 /r bitbase    ; s:I386, t:BITBYTE, w:RW|R|W, f:BT, p:LOCK|HLE
LFS          ; Gv,Mp       ; FS                      ;            0x0F 0xB4 /r:mem        ; s:I386, t:SEGOP, w:W|R|W, m:NOSGX
LGS          ; Gv,Mp       ; GS                      ;            0x0F 0xB5 /r:mem        ; s:I386, t:SEGOP, w:W|R|W, m:NOSGX
MOVZX        ; Gv,Eb       ;                         ;            0x0F 0xB6 /r            ; s:I386, t:DATAXFER, w:W|R
MOVZX        ; Gv,Ew       ;                         ;            0x0F 0xB7 /r            ; s:I386, t:DATAXFER, w:W|R
JMPE         ; Jz          ; rIP                     ;            0x0F 0xB8 cz            ; s:I64, t:UNCOND_BR, w:R|W, m:NO64
POPCNT       ; Gv,Ev       ; Fv                      ;       repz 0x0F 0xB8 /r            ; s:POPCNT, t:SSE, w:W|R|W, f:CF=0|PF=0|AF=0|ZF=m|SF=0|OF=0
UD1          ; Gd,Ed       ;                         ;            0x0F 0xB9 /r            ; s:UD, t:UD, w:R|R
BT           ; Ev,Ib       ; Fv                      ;            0x0F 0xBA /4 ib         ; s:I386, t:BITBYTE, w:R|R|W, f:BT
BTS          ; Ev,Ib       ; Fv                      ;            0x0F 0xBA /5 ib         ; s:I386, t:BITBYTE, w:RW|R|W, f:BT, p:LOCK|HLE
BTR          ; Ev,Ib       ; Fv                      ;            0x0F 0xBA /6 ib         ; s:I386, t:BITBYTE, w:RW|R|W, f:BT, p:LOCK|HLE
BTC          ; Ev,Ib       ; Fv                      ;            0x0F 0xBA /7 ib         ; s:I386, t:BITBYTE, w:RW|R|W, f:BT, p:LOCK|HLE
BTC          ; Ev,Gv       ; Fv                      ;            0x0F 0xBB /r bitbase    ; s:I386, t:I386, w:RW|R|W, f:BT, p:LOCK|HLE
BSF          ; Gv,Ev       ; Fv                      ;            0x0F 0xBC /r            ; s:I386, t:I386, w:CW|R|W, f:CF=u|PF=u|AF=u|ZF=m|SF=u|OF=u
TZCNT        ; Gv,Ev       ; Fv                      ;       repz 0x0F 0xBC /r            ; s:BMI1, t:BMI1, w:W|R|W, f:CF=m|PF=u|AF=u|ZF=m|SF=u|OF=u
BSR          ; Gv,Ev       ; Fv                      ;            0x0F 0xBD /r            ; s:I386, t:BITBYTE, w:CW|R|W, f:CF=u|PF=u|AF=u|ZF=m|SF=u|OF=u
LZCNT        ; Gv,Ev       ; Fv                      ;       repz 0x0F 0xBD /r            ; s:LZCNT, t:LZCNT, w:W|R|W, f:CF=m|PF=u|AF=u|ZF=m|SF=u|OF=u
MOVSX        ; Gv,Eb       ;                         ;            0x0F 0xBE /r            ; s:I386, t:DATAXFER, w:W|R
MOVSX        ; Gv,Ew       ;                         ;            0x0F 0xBF /r            ; s:I386, t:DATAXFER, w:W|R

# 0xC0 - 0xCF
XADD         ; Eb,Gb       ; Fv                      ;            0x0F 0xC0 /r            ; s:I486REAL, t:SEMAPHORE, w:RW|RW|W, f:ARITH, p:LOCK|HLE
XADD         ; Ev,Gv       ; Fv                      ;            0x0F 0xC1 /r            ; s:I486REAL, t:SEMAPHORE, w:RW|RW|W, f:ARITH, p:LOCK|HLE
CMPPS        ; Vps,Wps,Ib  ;                         ;         NP 0x0F 0xC2 /r ib         ; s:SSE, t:SSE, w:RW|R|R, e:2
CMPPD        ; Vpd,Wpd,Ib  ;                         ;       0x66 0x0F 0xC2 /r ib         ; s:SSE2, t:SSE, w:RW|R|R, e:2
CMPSS        ; Vss,Wss,Ib  ;                         ;       0xF3 0x0F 0xC2 /r ib         ; s:SSE, t:SSE, w:RW|R|R, e:3
CMPSD        ; Vsd,Wsd,Ib  ;                         ;       0xF2 0x0F 0xC2 /r ib         ; s:SSE2, t:SSE, w:RW|R|R, e:3
MOVNTI       ; My,Gy       ;                         ;         NP 0x0F 0xC3 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R
PINSRW       ; Pq,Rd,Ib    ;                         ;         NP 0x0F 0xC4 /r:reg ib     ; s:MMX, t:MMX, w:RW|R|R
PINSRW       ; Pq,Mw,Ib    ;                         ;         NP 0x0F 0xC4 /r:mem ib     ; s:MMX, t:MMX, w:RW|R|R
PINSRW       ; Vdq,Rd,Ib   ;                         ;       0x66 0x0F 0xC4 /r:reg ib     ; s:SSE2, t:SSE, w:RW|R|R, e:5
PINSRW       ; Vdq,Mw,Ib   ;                         ;       0x66 0x0F 0xC4 /r:mem ib     ; s:SSE2, t:SSE, w:RW|R|R, e:5
PEXTRW       ; Gy,Nq,Ib    ;                         ;         NP 0x0F 0xC5 /r:reg ib     ; s:MMX, t:MMX, w:W|R|R, a:D64
PEXTRW       ; Gy,Udq,Ib   ;                         ;       0x66 0x0F 0xC5 /r:reg ib     ; s:SSE2, t:SSE, w:W|R|R, e:5, a:D64
SHUFPS       ; Vps,Wps,Ib  ;                         ;         NP 0x0F 0xC6 /r ib         ; s:SSE, t:SSE, w:RW|R|R, e:4
SHUFPD       ; Vpd,Wpd,Ib  ;                         ;       0x66 0x0F 0xC6 /r ib         ; s:SSE2, t:SSE, w:RW|R|R, e:4
CMPXCHG8B    ; Mq          ; EDX,EAX,ECX,EBX,Fv      ;            0x0F 0xC7 /1:mem        ; s:PENTIUMREAL, t:SEMAPHORE, w:RCW|RCW|RCW|R|R|W, i:CX8, f:ZF=m, p:LOCK|HLE
CMPXCHG16B   ; Mdq         ; RDX,RAX,RCX,RBX,Fv      ;       rexw 0x0F 0xC7 /1:mem        ; s:CMPXCHG16B, t:SEMAPHORE, w:RCW|RCW|RCW|R|R|W, i:CX8, f:ZF=m, p:LOCK|HLE
XRSTORS      ; M?          ; EDX,EAX,XCR0,BANK       ;         NP 0x0F 0xC7 /3:mem        ; s:XSAVES, t:XSAVE, c:XRSTORS, w:R|R|R|R|W
XRSTORS64    ; M?          ; EDX,EAX,XCR0,BANK       ;    rexw NP 0x0F 0xC7 /3:mem        ; s:XSAVES, t:XSAVE, c:XRSTORS, w:R|R|R|R|W
XSAVEC       ; M?          ; EDX,EAX,XCR0,BANK       ;         NP 0x0F 0xC7 /4:mem        ; s:XSAVEC, t:XSAVE, c:XSAVEC, w:W|R|R|R|R
XSAVEC64     ; M?          ; EDX,EAX,XCR0,BANK       ;    rexw NP 0x0F 0xC7 /4:mem        ; s:XSAVEC, t:XSAVE, c:XSAVEC, w:W|R|R|R|R
XSAVES       ; M?          ; EDX,EAX,XCR0,BANK       ;         NP 0x0F 0xC7 /5:mem        ; s:XSAVES, t:XSAVE, c:XSAVES, w:W|R|R|R|R
XSAVES64     ; M?          ; EDX,EAX,XCR0,BANK       ;    rexw NP 0x0F 0xC7 /5:mem        ; s:XSAVES, t:XSAVE, c:XSAVES, w:W|R|R|R|R
VMPTRLD      ; Mq          ; Fv                      ;         NP 0x0F 0xC7 /6:mem        ; s:VTX, t:VTX, w:R|W, f:VMX, m:VMXROOT
VMCLEAR      ; Mq          ; Fv                      ;       0x66 0x0F 0xC7 /6:mem        ; s:VTX, t:VTX, w:R|W, f:VMX, m:VMXROOT
VMXON        ; Mq          ; Fv                      ;       0xF3 0x0F 0xC7 /6:mem        ; s:VTX, t:VTX, w:R|W, f:VMX, m:VMXROOT
VMPTRST      ; Mq          ; Fv                      ;         NP 0x0F 0xC7 /7:mem        ; s:VTX, t:VTX, w:W|W, f:VMX, m:VMXROOT
RDRAND       ; Rv          ; Fv                      ;         NP 0x0F 0xC7 /6:reg        ; s:RDRAND, t:RDRAND, w:W|W, f:CF=m|PF=0|AF=0|ZF=0|SF=0|OF=0
RDRAND       ; Rv          ; Fv                      ;       0x66 0x0F 0xC7 /6:reg        ; s:RDRAND, t:RDRAND, a:S66, w:W|W, f:CF=m|PF=0|AF=0|ZF=0|SF=0|OF=0
SENDUIPI     ; Rq          ;                         ;       0xF3 0x0F 0xC7 /6:reg        ; s:UINTR, t:UINTR, w:RW, m:O64|NOTSX|NOSGX
RDSEED       ; Rv          ; Fv                      ;         NP 0x0F 0xC7 /7:reg        ; s:RDSEED, t:RDSEED, w:W|W, f:CF=m|PF=0|AF=0|ZF=0|SF=0|OF=0
RDSEED       ; Rv          ; Fv                      ;       0x66 0x0F 0xC7 /7:reg        ; s:RDSEED, t:RDSEED, a:S66, w:W|W, f:CF=m|PF=0|AF=0|ZF=0|SF=0|OF=0
RDPID        ; Ryf         ; TSCAUX                  ;       0xF3 0x0F 0xC7 /7:reg        ; s:RDPID, t:RDPID, w:W|R

BSWAP        ; Zv          ;                         ;            0x0F 0xC8               ; s:I486REAL, t:DATAXFER, w:RW
BSWAP        ; Zv          ;                         ;            0x0F 0xC9               ; s:I486REAL, t:DATAXFER, w:RW
BSWAP        ; Zv          ;                         ;            0x0F 0xCA               ; s:I486REAL, t:DATAXFER, w:RW
BSWAP        ; Zv          ;                         ;            0x0F 0xCB               ; s:I486REAL, t:DATAXFER, w:RW
BSWAP        ; Zv          ;                         ;            0x0F 0xCC               ; s:I486REAL, t:DATAXFER, w:RW
BSWAP        ; Zv          ;                         ;            0x0F 0xCD               ; s:I486REAL, t:DATAXFER, w:RW
BSWAP        ; Zv          ;                         ;            0x0F 0xCE               ; s:I486REAL, t:DATAXFER, w:RW
BSWAP        ; Zv          ;                         ;            0x0F 0xCF               ; s:I486REAL, t:DATAXFER, w:RW

# 0xD0 - 0xDF
ADDSUBPD     ; Vpd,Wpd     ;                         ;       0x66 0x0F 0xD0 /r            ; s:SSE3, t:SSE, w:RW|R, e:2
ADDSUBPS     ; Vps,Wps     ;                         ;       0xF2 0x0F 0xD0 /r            ; s:SSE3, t:SSE, w:RW|R, e:2
PSRLW        ; Pq,Qq       ;                         ;         NP 0x0F 0xD1 /r            ; s:MMX, t:MMX, w:RW|R
PSRLW        ; Vx,Wx       ;                         ;       0x66 0x0F 0xD1 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSRLD        ; Pq,Qq       ;                         ;         NP 0x0F 0xD2 /r            ; s:MMX, t:MMX, w:RW|R
PSRLD        ; Vx,Wx       ;                         ;       0x66 0x0F 0xD2 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSRLQ        ; Pq,Qq       ;                         ;         NP 0x0F 0xD3 /r            ; s:MMX, t:MMX, w:RW|R
PSRLQ        ; Vx,Wx       ;                         ;       0x66 0x0F 0xD3 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PADDQ        ; Pq,Qq       ;                         ;         NP 0x0F 0xD4 /r            ; s:SSE2, t:MMX, w:RW|R, e:4
PADDQ        ; Vx,Wx       ;                         ;       0x66 0x0F 0xD4 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMULLW       ; Pq,Qq       ;                         ;         NP 0x0F 0xD5 /r            ; s:MMX, t:MMX, w:RW|R
PMULLW       ; Vx,Wx       ;                         ;       0x66 0x0F 0xD5 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
MOVQ         ; Wq,Vq       ;                         ;       0x66 0x0F 0xD6 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVQ2DQ      ; Vdq,Nq      ;                         ;       0xF3 0x0F 0xD6 /r:reg        ; s:SSE2, t:DATAXFER, w:W|R
MOVDQ2Q      ; Pq,Uq       ;                         ;       0xF2 0x0F 0xD6 /r:reg        ; s:SSE2, t:DATAXFER, w:W|R
