#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPSHUFB           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x00 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VFNMADD231PS      ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xBC /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMADD231PD      ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xBC /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMADD231SS      ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0xBD /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMADD231SD      ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0xBD /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMSUB231PS      ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xBE /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMSUB231PD      ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xBE /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMSUB231SS      ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0xBF /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMSUB231SD      ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0xBF /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R

# 0xC0 - 0xCF
VPCONFLICTD       ; Vfv{K}{z},Wfv|B32           ; n/a     ; evex m:2 p:1 l:x w:0 0xC4 /r            ; s:AVX512CD, t:CONFLICT, l:fv, e:E4NF, w:W|R|R
VPCONFLICTQ       ; Vfv{K}{z},Wfv|B64           ; n/a     ; evex m:2 p:1 l:x w:1 0xC4 /r            ; s:AVX512CD, t:CONFLICT, l:fv, e:E4NF, w:W|R|R
VGATHERPF0DPS     ; Mvm32n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:0 0xC6 /1:mem vsib   ; s:AVX512PF, t:GATHER, a:MMASK, l:t1s, e:E12NP, w:P|R
VGATHERPF0DPD     ; Mvm32h{K}                   ; n/a     ; evex m:2 p:1 l:2 w:1 0xC6 /1:mem vsib   ; s:AVX512PF, t:GATHER, a:MMASK, l:t1s, e:E12NP, w:P|R
VGATHERPF1DPS     ; Mvm32n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:0 0xC6 /2:mem vsib   ; s:AVX512PF, t:GATHER, a:MMASK, l:t1s, e:E12NP, w:P|R
VGATHERPF1DPD     ; Mvm32h{K}                   ; n/a     ; evex m:2 p:1 l:2 w:1 0xC6 /2:mem vsib   ; s:AVX512PF, t:GATHER, a:MMASK, l:t1s, e:E12NP, w:P|R
VSCATTERPF0DPS    ; Mvm32n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:0 0xC6 /5:mem vsib   ; s:AVX512PF, t:SCATTER, a:MMASK, l:t1s, e:E12NP, w:P|R
VSCATTERPF0DPD    ; Mvm32h{K}                   ; n/a     ; evex m:2 p:1 l:2 w:1 0xC6 /5:mem vsib   ; s:AVX512PF, t:SCATTER, a:MMASK, l:t1s, e:E12NP, w:P|R
VSCATTERPF1DPS    ; Mvm32n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:0 0xC6 /6:mem vsib   ; s:AVX512PF, t:SCATTER, a:MMASK, l:t1s, e:E12NP, w:P|R
VSCATTERPF1DPD    ; Mvm32h{K}                   ; n/a     ; evex m:2 p:1 l:2 w:1 0xC6 /6:mem vsib   ; s:AVX512PF, t:SCATTER, a:MMASK, l:t1s, e:E12NP, w:P|R
VGATHERPF0QPS     ; Mvm64n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:0 0xC7 /1:mem vsib   ; s:AVX512PF, t:GATHER, a:MMASK, l:t1s, e:E12NP, w:P|R
VGATHERPF0QPD     ; Mvm64n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:1 0xC7 /1:mem vsib   ; s:AVX512PF, t:GATHER, a:MMASK, l:t1s, e:E12NP, w:P|R
VGATHERPF1QPS     ; Mvm64n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:0 0xC7 /2:mem vsib   ; s:AVX512PF, t:GATHER, a:MMASK, l:t1s, e:E12NP, w:P|R
VGATHERPF1QPD     ; Mvm64n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:1 0xC7 /2:mem vsib   ; s:AVX512PF, t:GATHER, a:MMASK, l:t1s, e:E12NP, w:P|R
VSCATTERPF0QPS    ; Mvm64n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:0 0xC7 /5:mem vsib   ; s:AVX512PF, t:SCATTER, a:MMASK, l:t1s, e:E12NP, w:P|R
VSCATTERPF0QPD    ; Mvm64n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:1 0xC7 /5:mem vsib   ; s:AVX512PF, t:SCATTER, a:MMASK, l:t1s, e:E12NP, w:P|R
VSCATTERPF1QPS    ; Mvm64n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:0 0xC7 /6:mem vsib   ; s:AVX512PF, t:SCATTER, a:MMASK, l:t1s, e:E12NP, w:P|R
VSCATTERPF1QPD    ; Mvm64n{K}                   ; n/a     ; evex m:2 p:1 l:2 w:1 0xC7 /6:mem vsib   ; s:AVX512PF, t:SCATTER, a:MMASK, l:t1s, e:E12NP, w:P|R

VEXP2PS           ; Voq{K}{z},Woq|B32{sae}      ; n/a     ; evex m:2 p:1 l:2 w:0 0xC8 /r            ; s:AVX512ER, t:KNL, l:fv, e:E2, w:W|R|R
VEXP2PD           ; Voq{K}{z},Woq|B64{sae}      ; n/a     ; evex m:2 p:1 l:2 w:1 0xC8 /r            ; s:AVX512ER, t:KNL, l:fv, e:E2, w:W|R|R
VRCP28PS          ; Voq{K}{z},Woq|B32{sae}      ; n/a     ; evex m:2 p:1 l:2 w:0 0xCA /r            ; s:AVX512ER, t:KNL, l:fv, e:E2, w:W|R|R
VRCP28PD          ; Voq{K}{z},Woq|B64{sae}      ; n/a     ; evex m:2 p:1 l:2 w:1 0xCA /r            ; s:AVX512ER, t:KNL, l:fv, e:E2, w:W|R|R
VRCP28SS          ; Vdq{K}{z},Hdq,Wss{sae}      ; n/a     ; evex m:2 p:1 l:i w:0 0xCB /r            ; s:AVX512ER, t:KNL, l:t1s, e:E3, w:W|R|R|R
VRCP28SD          ; Vdq{K}{z},Hdq,Wsd{sae}      ; n/a     ; evex m:2 p:1 l:i w:1 0xCB /r            ; s:AVX512ER, t:KNL, l:t1s, e:E3, w:W|R|R|R
VRSQRT28PS        ; Voq{K}{z},Woq|B32{sae}      ; n/a     ; evex m:2 p:1 l:2 w:0 0xCC /r            ; s:AVX512ER, t:KNL, l:fv, e:E2, w:W|R|R
VRSQRT28PD        ; Voq{K}{z},Woq|B64{sae}      ; n/a     ; evex m:2 p:1 l:2 w:1 0xCC /r            ; s:AVX512ER, t:KNL, l:fv, e:E2, w:W|R|R
VRSQRT28SS        ; Vdq{K}{z},Hdq,Wss{sae}      ; n/a     ; evex m:2 p:1 l:i w:0 0xCD /r            ; s:AVX512ER, t:KNL, l:t1s, e:E3, w:W|R|R|R
VRSQRT28SD        ; Vdq{K}{z},Hdq,Wsd{sae}      ; n/a     ; evex m:2 p:1 l:i w:1 0xCD /r            ; s:AVX512ER, t:KNL, l:t1s, e:E3, w:W|R|R|R
VGF2P8MULB        ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:0 0xCF /r            ; s:GFNI, t:GFNI, l:fvm, e:E4, w:W|R|R|R

# 0xD0 - 0xDF
VAESENC           ; Vfv,Hfv,Wfv                 ; n/a     ; evex m:2 p:1 l:x w:i 0xDC /r            ; s:VAES, t:VAES, l:fvm, e:E4NF, w:W|R|R
VAESENCLAST       ; Vfv,Hfv,Wfv                 ; n/a     ; evex m:2 p:1 l:x w:i 0xDD /r            ; s:VAES, t:VAES, l:fvm, e:E4NF, w:W|R|R
VAESDEC           ; Vfv,Hfv,Wfv                 ; n/a     ; evex m:2 p:1 l:x w:i 0xDE /r            ; s:VAES, t:VAES, l:fvm, e:E4NF, w:W|R|R
VAESDECLAST       ; Vfv,Hfv,Wfv                 ; n/a     ; evex m:2 p:1 l:x w:i 0xDF /r            ; s:VAES, t:VAES, l:fvm, e:E4NF, w:W|R|R

# 0xE0 - 0xEF

# 0xF0 - 0xFF
