#
# Copyright (c) 2024 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# ADD
ADD             ; Eb,Gb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x00 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
INC{ND}          ; Bb,Eb        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:0 0xFE /0       ; s:APX_F, t:ARITH, w:W|R|W, v:legacy, e:APX_EVEX_INT, f:INCDEC
INC{ND}          ; Bv,Ev        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:0 0xFF /0       ; s:APX_F, t:ARITH, w:W|R|W, v:legacy, e:APX_EVEX_INT, f:INCDEC, a:SCALABLE
INC{ND}          ; Bv,Ev        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:1 0xFF /0       ; s:APX_F, t:ARITH, w:W|R|W, v:legacy, e:APX_EVEX_INT, f:INCDEC, a:SCALABLE
INC{ND}{NF}      ; Bb,Eb        ;               ; evex m:4 l:0 nd:1 nf:1 p:0 0xFE /0       ; s:APX_F, t:ARITH, w:W|R,   v:legacy, e:APX_EVEX_INT
INC{ND}{NF}      ; Bv,Ev        ;               ; evex m:4 l:0 nd:1 nf:1 p:0 0xFF /0       ; s:APX_F, t:ARITH, w:W|R,   v:legacy, e:APX_EVEX_INT, a:SCALABLE
INC{ND}{NF}      ; Bv,Ev        ;               ; evex m:4 l:0 nd:1 nf:1 p:1 0xFF /0       ; s:APX_F, t:ARITH, w:W|R,   v:legacy, e:APX_EVEX_INT, a:SCALABLE
DEC              ; Eb           ; Fv            ; evex m:4 l:0 nd:0 nf:0 p:0 0xFE /1       ; s:APX_F, t:ARITH, w:RW|W,  v:legacy, e:APX_EVEX_INT, f:INCDEC
DEC              ; Ev           ; Fv            ; evex m:4 l:0 nd:0 nf:0 p:0 0xFF /1       ; s:APX_F, t:ARITH, w:RW|W,  v:legacy, e:APX_EVEX_INT, f:INCDEC, a:SCALABLE
DEC              ; Ev           ; Fv            ; evex m:4 l:0 nd:0 nf:0 p:1 0xFF /1       ; s:APX_F, t:ARITH, w:RW|W,  v:legacy, e:APX_EVEX_INT, f:INCDEC, a:SCALABLE
DEC{NF}          ; Eb           ;               ; evex m:4 l:0 nd:0 nf:1 p:0 0xFE /1       ; s:APX_F, t:ARITH, w:RW,    v:legacy, e:APX_EVEX_INT
DEC{NF}          ; Ev           ;               ; evex m:4 l:0 nd:0 nf:1 p:0 0xFF /1       ; s:APX_F, t:ARITH, w:RW,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
DEC{NF}          ; Ev           ;               ; evex m:4 l:0 nd:0 nf:1 p:1 0xFF /1       ; s:APX_F, t:ARITH, w:RW,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
DEC{ND}          ; Bb,Eb        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:0 0xFE /1       ; s:APX_F, t:ARITH, w:W|R|W, v:legacy, e:APX_EVEX_INT, f:INCDEC
DEC{ND}          ; Bv,Ev        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:0 0xFF /1       ; s:APX_F, t:ARITH, w:W|R|W, v:legacy, e:APX_EVEX_INT, f:INCDEC, a:SCALABLE
DEC{ND}          ; Bv,Ev        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:1 0xFF /1       ; s:APX_F, t:ARITH, w:W|R|W, v:legacy, e:APX_EVEX_INT, f:INCDEC, a:SCALABLE
DEC{ND}{NF}      ; Bb,Eb        ;               ; evex m:4 l:0 nd:1 nf:1 p:0 0xFE /1       ; s:APX_F, t:ARITH, w:W|R,   v:legacy, e:APX_EVEX_INT
DEC{ND}{NF}      ; Bv,Ev        ;               ; evex m:4 l:0 nd:1 nf:1 p:0 0xFF /1       ; s:APX_F, t:ARITH, w:W|R,   v:legacy, e:APX_EVEX_INT, a:SCALABLE
DEC{ND}{NF}      ; Bv,Ev        ;               ; evex m:4 l:0 nd:1 nf:1 p:1 0xFF /1       ; s:APX_F, t:ARITH, w:W|R,   v:legacy, e:APX_EVEX_INT, a:SCALABLE


# NOT/NEG
NOT              ; Eb           ;               ; evex m:4 l:0 nd:0 nf:0 p:0 0xF6 /2       ; s:APX_F, t:LOGIC, w:RW,    v:legacy, e:APX_EVEX_INT
NOT              ; Ev           ;               ; evex m:4 l:0 nd:0 nf:0 p:0 0xF7 /2       ; s:APX_F, t:LOGIC, w:RW,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
NOT              ; Ev           ;               ; evex m:4 l:0 nd:0 nf:0 p:1 0xF7 /2       ; s:APX_F, t:LOGIC, w:RW,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
NOT{ND}          ; Bb,Eb        ;               ; evex m:4 l:0 nd:1 nf:0 p:0 0xF6 /2       ; s:APX_F, t:LOGIC, w:W|R,   v:legacy, e:APX_EVEX_INT
NOT{ND}          ; Bv,Ev        ;               ; evex m:4 l:0 nd:1 nf:0 p:0 0xF7 /2       ; s:APX_F, t:LOGIC, w:W|R,   v:legacy, e:APX_EVEX_INT, a:SCALABLE
NOT{ND}          ; Bv,Ev        ;               ; evex m:4 l:0 nd:1 nf:0 p:1 0xF7 /2       ; s:APX_F, t:LOGIC, w:W|R,   v:legacy, e:APX_EVEX_INT, a:SCALABLE
NEG              ; Eb           ; Fv            ; evex m:4 l:0 nd:0 nf:0 p:0 0xF6 /3       ; s:APX_F, t:LOGIC, w:RW|W,  v:legacy, e:APX_EVEX_INT, f:ARITH
NEG              ; Ev           ; Fv            ; evex m:4 l:0 nd:0 nf:0 p:0 0xF7 /3       ; s:APX_F, t:LOGIC, w:RW|W,  v:legacy, e:APX_EVEX_INT, a:SCALABLE, f:ARITH
NEG              ; Ev           ; Fv            ; evex m:4 l:0 nd:0 nf:0 p:1 0xF7 /3       ; s:APX_F, t:LOGIC, w:RW|W,  v:legacy, e:APX_EVEX_INT, a:SCALABLE, f:ARITH
NEG{NF}          ; Eb           ;               ; evex m:4 l:0 nd:0 nf:1 p:0 0xF6 /3       ; s:APX_F, t:LOGIC, w:RW,    v:legacy, e:APX_EVEX_INT
NEG{NF}          ; Ev           ;               ; evex m:4 l:0 nd:0 nf:1 p:0 0xF7 /3       ; s:APX_F, t:LOGIC, w:RW,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
NEG{NF}          ; Ev           ;               ; evex m:4 l:0 nd:0 nf:1 p:1 0xF7 /3       ; s:APX_F, t:LOGIC, w:RW,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
NEG{ND}          ; Bb,Eb        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:0 0xF6 /3       ; s:APX_F, t:LOGIC, w:W|R|W, v:legacy, e:APX_EVEX_INT, f:ARITH
NEG{ND}          ; Bv,Ev        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:0 0xF7 /3       ; s:APX_F, t:LOGIC, w:W|R|W, v:legacy, e:APX_EVEX_INT, a:SCALABLE, f:ARITH
NEG{ND}          ; Bv,Ev        ; Fv            ; evex m:4 l:0 nd:1 nf:0 p:1 0xF7 /3       ; s:APX_F, t:LOGIC, w:W|R|W, v:legacy, e:APX_EVEX_INT, a:SCALABLE, f:ARITH
NEG{ND}{NF}      ; Bb,Eb        ;               ; evex m:4 l:0 nd:1 nf:1 p:0 0xF6 /3       ; s:APX_F, t:LOGIC, w:W|R,   v:legacy, e:APX_EVEX_INT
NEG{ND}{NF}      ; Bv,Ev        ;               ; evex m:4 l:0 nd:1 nf:1 p:0 0xF7 /3       ; s:APX_F, t:LOGIC, w:W|R,   v:legacy, e:APX_EVEX_INT, a:SCALABLE
NEG{ND}{NF}      ; Bv,Ev        ;               ; evex m:4 l:0 nd:1 nf:1 p:1 0xF7 /3       ; s:APX_F, t:LOGIC, w:W|R,   v:legacy, e:APX_EVEX_INT, a:SCALABLE


# PUSH2/POP2 instructions.
POP2             ; Bv,Rv        ; Kv2           ; evex m:4 l:0 nd:1 nf:0 p:0 w:0 0x8F /0:reg    ; s:APX_F, t:POP,  w:W|W|R, v:legacy, e:APX_EVEX_PP2, a:D64
POP2P            ; Bv,Rv        ; Kv2           ; evex m:4 l:0 nd:1 nf:0 p:0 w:1 0x8F /0:reg    ; s:APX_F, t:POP,  w:W|W|R, v:legacy, e:APX_EVEX_PP2, a:D64
PUSH2            ; Bv,Rv        ; Kv2           ; evex m:4 l:0 nd:1 nf:0 p:0 w:0 0xFF /6:reg    ; s:APX_F, t:PUSH, w:R|R|W, v:legacy, e:APX_EVEX_PP2, a:D64
PUSH2P           ; Bv,Rv        ; Kv2           ; evex m:4 l:0 nd:1 nf:0 p:0 w:1 0xFF /6:reg    ; s:APX_F, t:PUSH, w:R|R|W, v:legacy, e:APX_EVEX_PP2, a:D64


# AES instructions. Were included in initial APX revisions, later removed in revision 4.0.
#ENCODEKEY128        ; Gd,Rd       ; XMM0,XMM0-2,XMM4-6,Fv ; evex m:4 l:0 p:2 nd:0 nf:0 0xDA /r:reg    ; s:APX_F, t:AESKL, w:W|R|R|W|W|W, f:ZERO, e:APX_EVEX_KEYLOCKER, v:legacy
#ENCODEKEY256        ; Gd,Rd       ; XMM0-1,XMM2-6,Fv      ; evex m:4 l:0 p:2 nd:0 nf:0 0xDB /r:reg    ; s:APX_F, t:AESKL, w:W|R|RW|W|W,  f:ZERO, e:APX_EVEX_KEYLOCKER, v:legacy
#AESDEC128KL         ; Vdq,M384    ; Fv          ; evex m:4 l:0 p:2 nd:0 nf:0 0xDD /r:mem        ; s:APX_F, t:AESKL,   w:RW|R|W, f:AESKL, e:APX_EVEX_KEYLOCKER, v:legacy
#AESDEC256KL         ; Vdq,M512    ; Fv          ; evex m:4 l:0 p:2 nd:0 nf:0 0xDF /r:mem        ; s:APX_F, t:AESKL,   w:RW|R|W, f:AESKL, e:APX_EVEX_KEYLOCKER, v:legacy
#AESENCWIDE128KL     ; M384        ; XMM0-7,Fv   ; evex m:4 l:0 p:2 nd:0 nf:0 0xD8 /0:mem        ; s:APX_F, t:WIDE_KL, w:R|RW|W, f:AESKL, e:APX_EVEX_KEYLOCKER, v:legacy
#AESDECWIDE128KL     ; M384        ; XMM0-7,Fv   ; evex m:4 l:0 p:2 nd:0 nf:0 0xD8 /1:mem        ; s:APX_F, t:WIDE_KL, w:R|RW|W, f:AESKL, e:APX_EVEX_KEYLOCKER, v:legacy
#AESENCWIDE256KL     ; M512        ; XMM0-7,Fv   ; evex m:4 l:0 p:2 nd:0 nf:0 0xD8 /2:mem        ; s:APX_F, t:WIDE_KL, w:R|RW|W, f:AESKL, e:APX_EVEX_KEYLOCKER, v:legacy
#AESDECWIDE256KL     ; M512        ; XMM0-7,Fv   ; evex m:4 l:0 p:2 nd:0 nf:0 0xD8 /3:mem        ; s:APX_F, t:WIDE_KL, w:R|RW|W, f:AESKL, e:APX_EVEX_KEYLOCKER, v:legacy
#AESENC128KL         ; Vdq,M384    ; Fv          ; evex m:4 l:0 p:2 nd:0 nf:0 0xDC /r:mem        ; s:APX_F, t:AESKL,   w:RW|R|W, f:AESKL, e:APX_EVEX_KEYLOCKER, v:legacy
#AESENC256KL         ; Vdq,M512    ; Fv          ; evex m:4 l:0 p:2 nd:0 nf:0 0xDE /r:mem        ; s:APX_F, t:AESKL,   w:RW|R|W, f:AESKL, e:APX_EVEX_KEYLOCKER, v:legacy


# SHA instructions. Were included in initial APX revisions, later removed in revision 4.0.
#SHA1RNDS4           ; Vdq,Wdq,Ib  ;             ; evex m:4 l:0 p:0 nd:0 nf:0 0xD4 /r ib         ; s:APX_F, t:SHA, w:RW|R|R, e:APX_EVEX_SHA, v:legacy
#SHA1NEXTE           ; Vdq,Wdq     ;             ; evex m:4 l:0 p:0 nd:0 nf:0 0xD8 /r            ; s:APX_F, t:SHA, w:RW|R,   e:APX_EVEX_SHA, v:legacy
#SHA1MSG1            ; Vdq,Wdq     ;             ; evex m:4 l:0 p:0 nd:0 nf:0 0xD9 /r            ; s:APX_F, t:SHA, w:RW|R,   e:APX_EVEX_SHA, v:legacy
#SHA1MSG2            ; Vdq,Wdq     ;             ; evex m:4 l:0 p:0 nd:0 nf:0 0xDA /r            ; s:APX_F, t:SHA, w:RW|R,   e:APX_EVEX_SHA, v:legacy
#SHA256MSG1          ; Vdq,Wdq     ;             ; evex m:4 l:0 p:0 nd:0 nf:0 0xDC /r            ; s:APX_F, t:SHA, w:RW|R,   e:APX_EVEX_SHA, v:legacy
#SHA256MSG2          ; Vdq,Wdq     ;             ; evex m:4 l:0 p:0 nd:0 nf:0 0xDD /r            ; s:APX_F, t:SHA, w:RW|R,   e:APX_EVEX_SHA, v:legacy
#SHA256RNDS2         ; Vdq,Wdq     ; XMM0        ; evex m:4 l:0 p:0 nd:0 nf:0 0xDB /r            ; s:APX_F, t:SHA, w:RW|R|R, e:APX_EVEX_SHA, v:legacy


# INVEPT, INVPCID, INVVPID
INVEPT              ; Gy,Mdq      ; Fv          ; evex m:4 l:0 p:2 nd:0 nf:0 0xF0 /r:mem        ; s:APX_F, t:VTX,  w:R|R|W, f:VMX, a:F64|SERIAL, m:VMXROOT, v:legacy, e:APX_EVEX_INVEPT
INVVPID             ; Gy,Mdq      ; Fv          ; evex m:4 l:0 p:2 nd:0 nf:0 0xF1 /r:mem        ; s:APX_F, t:VTX,  w:R|R|W, f:VMX, a:F64|SERIAL, m:VMXROOT, v:legacy, e:APX_EVEX_INVVPID
INVPCID             ; Gy,Mdq      ;             ; evex m:4 l:0 p:2 nd:0 nf:0 0xF2 /r:mem        ; s:APX_F, t:MISC, w:R|R,   a:F64, m:KERNEL|NOV86, v:legacy, e:APX_EVEX_INVPCID


# ENQCMD, ENQCMDS
ENQCMDS             ; rM?,Moq     ; Fv          ; evex m:4 l:0 p:2 nd:0 nf:0 0xF8 /r:mem        ; s:APX_F, t:ENQCMD, w:W|R|W, f:ENQCMD, v:legacy, e:APX_EVEX_ENQCMD
ENQCMD              ; rM?,Moq     ; Fv          ; evex m:4 l:0 p:3 nd:0 nf:0 0xF8 /r:mem        ; s:APX_F, t:ENQCMD, w:W|R|W, f:ENQCMD, v:legacy, e:APX_EVEX_ENQCMD


# MOVDIR
MOVDIR64B           ; rMoq,Moq    ;             ; evex m:4 l:0 nd:0 nf:0 p:1 0xF8 /r:mem        ; s:APX_F, t:MOVDIR64B, w:W|R,  e:APX_EVEX_INT, v:legacy
UWRMSR              ; Gq,Eq       ;             ; evex m:4 l:0 nd:0 nf:0 p:2 w:0 0xF8 /r:reg    ; s:APX_F, t:USER_MSR, w:R|R,   e:APX_EVEX_USER_MSR, v:legacy
URDMSR              ; Eq,Gq       ;             ; evex m:4 l:0 nd:0 nf:0 p:3 w:0 0xF8 /r:reg    ; s:APX_F, t:USER_MSR, w:W|R,   e:APX_EVEX_USER_MSR, v:legacy
MOVDIRI             ; My,Gy       ;             ; evex m:4 l:0 nd:0 nf:0 p:0 0xF9 /r:mem        ; s:APX_F, t:MOVDIRI, w:W|R,    e:APX_EVEX_INT, v:legacy


# CET SS
WRUSSD              ; My,Gy       ;             ; evex m:4 l:0 p:1 w:0 nd:0 nf:0 0x65 /r:mem    ; s:APX_F, t:CET, c:WRUSS, a:SHS, w:W|R, v:legacy, e:APX_EVEX_WRUSS, m:KERNEL
WRUSSQ              ; My,Gy       ;             ; evex m:4 l:0 p:1 w:1 nd:0 nf:0 0x65 /r:mem    ; s:APX_F, t:CET, c:WRUSS, a:SHS, w:W|R, v:legacy, e:APX_EVEX_WRUSS, m:KERNEL
WRSSD               ; My,Gy       ;             ; evex m:4 l:0 p:0 w:0 nd:0 nf:0 0x66 /r:mem    ; s:APX_F, t:CET, c:WRSS,  a:SHS, w:W|R, v:legacy, e:APX_EVEX_WRSS
WRSSQ               ; My,Gy       ;             ; evex m:4 l:0 p:0 w:1 nd:0 nf:0 0x66 /r:mem    ; s:APX_F, t:CET, c:WRSS,  a:SHS, w:W|R, v:legacy, e:APX_EVEX_WRSS


# RAO-INT
AADD                ; My,Gy       ;             ; evex m:4 l:0 nd:0 nf:0 p:0 0xFC /r:mem        ; s:APX_F, t:RAOINT, w:RW|R, v:legacy, e:APX_EVEX_RAOINT
AAND                ; My,Gy       ;             ; evex m:4 l:0 nd:0 nf:0 p:1 0xFC /r:mem        ; s:APX_F, t:RAOINT, w:RW|R, v:legacy, e:APX_EVEX_RAOINT
AXOR                ; My,Gy       ;             ; evex m:4 l:0 nd:0 nf:0 p:2 0xFC /r:mem        ; s:APX_F, t:RAOINT, w:RW|R, v:legacy, e:APX_EVEX_RAOINT
AOR                 ; My,Gy       ;             ; evex m:4 l:0 nd:0 nf:0 p:3 0xFC /r:mem        ; s:APX_F, t:RAOINT, w:RW|R, v:legacy, e:APX_EVEX_RAOINT


# CCMPSCC
CCMPO               ; Eb,Gb,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:0 0x38 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP
CCMPO               ; Ev,Gv,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:0 0x39 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPO               ; Ev,Gv,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:0 0x39 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPO               ; Gb,Eb,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:0 0x3A /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP
CCMPO               ; Gv,Ev,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:0 0x3B /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPO               ; Gv,Ev,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:0 0x3B /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPO               ; Eb,Ib,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:0 0x80 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP
CCMPO               ; Ev,Iz,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:0 0x81 /7 iz         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPO               ; Ev,Iz,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:0 0x81 /7 iz         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPO               ; Ev,Ib,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:0 0x83 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPO               ; Ev,Ib,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:0 0x83 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CO,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNO              ; Eb,Gb,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:1 0x38 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP
CCMPNO              ; Ev,Gv,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:1 0x39 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNO              ; Ev,Gv,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:1 0x39 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNO              ; Gb,Eb,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:1 0x3A /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP
CCMPNO              ; Gv,Ev,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:1 0x3B /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNO              ; Gv,Ev,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:1 0x3B /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNO              ; Eb,Ib,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:1 0x80 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP
CCMPNO              ; Ev,Iz,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:1 0x81 /7 iz         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNO              ; Ev,Iz,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:1 0x81 /7 iz         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNO              ; Ev,Ib,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:1 0x83 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNO              ; Ev,Ib,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:1 0x83 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNO,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPC               ; Eb,Gb,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:2 0x38 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP
CCMPC               ; Ev,Gv,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:2 0x39 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPC               ; Ev,Gv,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:2 0x39 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPC               ; Gb,Eb,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:2 0x3A /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP
CCMPC               ; Gv,Ev,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:2 0x3B /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPC               ; Gv,Ev,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:2 0x3B /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPC               ; Eb,Ib,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:2 0x80 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP
CCMPC               ; Ev,Iz,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:2 0x81 /7 iz         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPC               ; Ev,Iz,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:2 0x81 /7 iz         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPC               ; Ev,Ib,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:2 0x83 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPC               ; Ev,Ib,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:2 0x83 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CC,   v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNC              ; Eb,Gb,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:3 0x38 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP
CCMPNC              ; Ev,Gv,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:3 0x39 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNC              ; Ev,Gv,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:3 0x39 /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNC              ; Gb,Eb,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:3 0x3A /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP
CCMPNC              ; Gv,Ev,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:3 0x3B /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNC              ; Gv,Ev,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:3 0x3B /r            ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNC              ; Eb,Ib,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:3 0x80 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP
CCMPNC              ; Ev,Iz,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:3 0x81 /7 iz         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNC              ; Ev,Iz,dfv   ; Fv          ; evex m:4 l:0 p:1 nd:0 sc:3 0x81 /7 iz         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
CCMPNC              ; Ev,Ib,dfv   ; Fv          ; evex m:4 l:0 p:0 nd:0 sc:3 0x83 /7 ib         ; s:APX_F, t:APX,  c:CCMP,  w:R|R|R|W, f:CNC,  v:cond, e:APX_EVEX_CCMP, a:SCALABLE
